word,weight
worst,-40.5825540023651
waste,-37.003637200812854
awful,-34.32843968235582
poorly,-33.116591113975154
not worth,-32.81943358325142
disappointment,-31.05640223548638
excellent,29.38037310753237
definitely worth,28.584932070172055
laughable,-26.284290961190802
lacks,-25.587802884250145
boring,-25.53703953029524
perfect,25.40930455773409
mess,-24.821867554308767
well worth,24.791506219790566
disappointing,-23.560085673034774
refreshing,23.207158445961817
pointless,-22.99885458899667
unfunny,-22.99321378930886
worse,-22.970058154522626
bad,-22.94040171019109
fails,-22.767000273238367
avoid,-22.14653040469695
dull,-22.00496975949451
poor,-21.914951628345147
great,21.684213578089896
horrible,-21.554694968716436
wonderfully,21.160559443388586
at best,-20.815670857860695
wonderful,20.71115787895862
forgettable,-20.10140639351063
let down,-19.66559640907096
amazing,19.287217563161544
favorite,19.23370830566139
annoying,-19.05808854304643
badly,-18.90433655582349
not even,-18.672013206859212
redeeming,-18.51253930674455
save,-18.268648082236655
than this,-18.185391679668754
terrible,-18.1780244865563
rare,17.977127022398943
not good,-17.8414243390844
unfortunately,-17.697655490195057
lame,-17.431154273175583
enjoyable,17.102029327790007
not recommend,-16.909598896490582
lousy,-16.677875534625276
surprisingly good,16.66008023904984
one of the worst,-16.64652854703951
nothing,-16.43902705008981
ridiculous,-16.400886135664308
incredible,16.36977900033764
alright,-16.307442602191298
mildly,-16.276955374713634
funniest,16.15411274272058
basically,-16.060335287593436
must see,16.017412474036032
wooden,-15.983037172318294
superb,15.914412853556746
not funny,-15.912508991359033
very good,15.902401351203848
just not,-15.871500884887656
today,15.78671713392585
way too,-15.749727709884414
best,15.541501639851475
the introduction,-15.468770100885521
evil breed,15.397213894060958
love this,15.349115829839704
captures,15.077028806851342
my only,14.948756566303071
brilliant,14.936385215566457
mst3k,-14.894610808765224
skip this,-14.894040365947646
wonder,-14.748480840466508
miscast,-14.591924125440306
obnoxious,-14.489552895334466
oh,-14.416273159352668
sit through,-14.10678478114845
stupid,-14.101218367657312
loved this,14.078345411846314
pretentious,-14.037414627437615
noir,13.866609425016696
recommended,13.865410279509174
baldwin,-13.864172879687194
pathetic,-13.861343266287397
to all,13.84063285523953
perfectly,13.776597872225935
supposed,-13.711626143383855
unconvincing,-13.53586687351437
tedious,-13.495318160536726
atmosphere,13.464885466261519
pleasantly surprised,13.441817287469002
very well,13.420357083249883
flawless,13.401478275671122
weak,-13.309772696382897
delightful,13.271359147511829
fantastic,13.200650996312337
script,-13.153706243345587
propaganda,-13.141303373031601
10 10,13.117918375865266
fascinating,12.930960812982715
enjoyed this,12.878885135754796
fun,12.76780952179505
touching,12.743027486659841
unremarkable,-12.592500522288377
bit,12.56032224814729
incoherent,-12.557915349540927
wanted to like,-12.523703871964681
subtle,12.475898267340783
freedom,12.450221972826519
insult,-12.42643640561577
on dvd,12.413776747393833
not very,-12.3912433010302
instead,-12.388646412380576
simple,12.311408736604765
as much as,12.27480061078574
couldn,-12.270666838225358
the excellent,-12.174207061933405
at all,-12.162621158888388
no plot,-12.021307032129291
lack of,-12.01031630821396
trite,-12.009375828226194
dreadful,-11.963617258146735
highly recommend,11.918387403352101
predictable,-11.914800498036236
unwatchable,-11.888278355303461
none of,-11.887626104330934
and well,11.720291441679713
believable,11.70175936419444
loved,11.593527889737622
his way,11.578622306719486
troubled,11.517088544591783
finest,11.516902323835515
sadly,-11.490498208653984
powerful,11.390751244472256
watch it,11.288830264503527
mediocre,-11.231976587716996
very entertaining,11.205159680734669
ludicrous,-11.157697939636636
wouldn recommend,-11.083944586714713
paper,-11.0762001451827
it just,-11.068441054234482
cerebral,11.024844464470448
gem,11.008811919222213
not recommended,-10.984411495709148
worlds,10.930135150263489
doesn work,-10.87576299355099
predictable but,10.860699598646775
strong,10.786426638085485
had high,-10.683901875404048
minutes,-10.67372439944932
haunting,10.646196781519455
is just,-10.56255256282504
fast forward,-10.556381121526563
garbage,-10.522644447675276
underrated,10.51525296615283
wayans,-10.514755383839073
necessary,10.50731385713634
this film just,-10.506192911581053
silly,-10.49832852824076
only good,-10.477877897449089
highly,10.470199607417618
pretty good,10.40803791423984
credibility,-10.387006746525577
beautiful,10.369049948510057
on the edge of,10.278504525393448
subtitles,10.275781260500938
beautifully,10.214409518945512
attempt,-10.19809697827584
the original,-10.18860824679851
fez,10.172105981806695
better than,10.14454668346747
likable and,10.13374890615087
sorry,-10.10328409951366
solid,10.085067533771952
liked,10.074497179745117
plenty of,10.052381861488392
better to,-10.04366693488478
makes,10.042212365976225
extraordinary,10.034258630080599
true,10.030112267094863
painful,-10.009671861875233
of what,10.007880016278197
disappointed,-9.990250101579456
unusually,9.981455122771294
offensive,-9.969194462863207
hilarious,9.94850212739922
crap,-9.921870027343383
realistic,9.916683382052183
lorenz,-9.891837340940294
hoping,-9.888449718564404
embarrassment,-9.854595055224824
cheap,-9.843524916573282
screaming,-9.815332777824564
just as,9.807162833761002
absolutely no,-9.802859088846757
still,9.777137698259274
someone,-9.744279234006957
surprisingly,9.730117073448943
especially,9.671858570140163
surprised,9.648313363015664
cardboard,-9.629659203571443
kitty,9.624326349831371
first rate,9.617320062022257
definitely,9.595500650182096
job,9.568469813116348
bored,-9.56436135158328
neither,-9.549404046979305
both,9.545100928309138
the movie however,9.541638821933
outstanding,9.540516273909423
first time,9.520144721320623
better,-9.507929320465367
well written,9.45237676332147
masterpiece,9.41547037381656
unrealistic,-9.413643563156446
greene,9.408226738549498
be funny,-9.40134009833556
of my life,-9.326129642213473
innocent,9.32217402961511
looks,-9.302657977190263
reason,-9.253463188441762
