id,StateDesc,CityName,1P:No Annual Checkup:Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,3O:Arthritis:Arthritis among adults aged >=18 Years,2B:Binge Drinking:Binge drinking among adults aged >=18 Years,3O:Chronic Pulmonary Disease:Chronic obstructive pulmonary disease among adults aged >=18 Years,3O:Cancer:Cancer (excluding skin cancer) among adults aged >=18 Years,1P:No Cholesterol Screening:Cholesterol screening among adults aged >=18 Years,3O:Chronic Kidney Disease:Chronic kidney disease among adults aged >=18 Years,"1P:No Colorectal Cancer Screening:Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years","1P:No Preventive services-older men:Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening","1P:No Preventive services-older women:Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",3O:Coronary Heart Disease:Coronary heart disease among adults aged >=18 Years,3O:Asthma:Current asthma among adults aged >=18 Years,2B:Current Smoking:Current smoking among adults aged >=18 Years,1P:No Dental Visit:Visits to dentist or dental clinic among adults aged >=18 Years,3O:Diabetes:Diagnosed diabetes among adults aged >=18 Years,1P:No Health Insurance:Current lack of health insurance among adults aged 18–64 Years,3O:High Blood Pressure:High blood pressure among adults aged >=18 Years,3O:High Cholesterol:High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1P:No Mammography:Mammography use among women aged 50–74 Years,3O:Mental Health:Mental health not good for >=14 days among adults aged >=18 Years,2B:Obesity:Obesity among adults aged >=18 Years,1P:No Pap Smear Test:Papanicolaou smear use among adult women aged 21–65 Years,3O:Physical Health:Physical health not good for >=14 days among adults aged >=18 Years,2B:Physical Inactivity:No leisure-time physical activity among adults aged >=18 Years,2B:Sleep < 7 hours:Sleeping less than 7 hours among adults aged >=18 Years,3O:Stroke:Stroke among adults aged >=18 Years,1P:Not Taking BP Medication:Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,3O:All Teeth Lost:All teeth lost among adults aged >=65 Years,CityFIPS,PopulationCount,health_score,city_ascii,state_name,lat,lng,county_fips,county_name,cz,czname,statename,stateabbrv_x,life_q1_f,life_q2_f,life_q3_f,life_q4_f,life_q1_m,life_q2_m,life_q3_m,life_q4_m,expectancy_f,expectancy_m,"4L:Life Expectancy Top 25%:Life expectancy in years, Top Quartile Income","4L:Life Expectancy Bottom 25%:Life expectancy in years, Bottom Quartile Income",4L:Life Expectancy Average: Average Life Expectancy in Years,disparity_m,disparity_f,disparity_avg,FIPS,stateabbrv_y,health_rank
0,Average,United States,30.0,24.7,16.3,6.3,6.6,23.0,2.7,36.3,67.7,69.3,6.3,8.8,16.8,35.599999999999994,10.4,14.799999999999997,31.9,37.1,24.200000000000003,11.4,28.8,18.200000000000003,12.0,25.9,34.8,3.0,22.799999999999997,14.9,,308745538,58,,,35.0,-71.0,,,,,,,81.6,84.2,85.8,87.4,75.9,80.1,82.7,84.7,84.7,80.8,86.1,78.7,82.8,8.9,5.9,7.4,,,256
1,New York,New York,28.0,20.4,16.8,5.6,5.3,24.700000000000003,2.7,38.8,71.9,74.2,5.3,10.0,16.4,38.8,10.7,15.700000000000003,28.4,34.4,25.400000000000006,12.8,24.7,19.900000000000006,13.1,30.5,41.0,3.0,26.299999999999997,15.9,3651000,8175133,60,New York,New York,40.76149276,-73.98143112,36061,New York,19400.0,New York City,New York,NY,84.93,85.1,85.82,87.84,80.37,81.2,82.68,85.56,85.9,82.5,86.7,82.6,84.2,5.2,2.9,4.1,36061,NY,241
2,California,Los Angeles,36.3,17.5,17.3,4.9,5.1,27.900000000000006,2.7,44.1,76.0,75.5,4.8,8.5,14.8,42.2,10.4,19.099999999999994,26.7,32.6,23.099999999999994,13.2,25.0,21.200000000000003,12.9,22.5,37.7,2.8,32.5,11.3,0644000,3792621,62,Los Angeles,California,34.0522342,-118.24368490000002,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,222
0,Average,United States,30.0,24.7,16.3,6.3,6.6,23.0,2.7,36.3,67.7,69.3,6.3,8.8,16.8,35.599999999999994,10.4,14.799999999999997,31.9,37.1,24.200000000000003,11.4,28.8,18.200000000000003,12.0,25.9,34.8,3.0,22.799999999999997,14.9,,308745538,58,,,35.0,-71.0,,,,,,,81.6,84.2,85.8,87.4,75.9,80.1,82.7,84.7,84.7,80.8,86.1,78.7,82.8,8.9,5.9,7.4,,,256
1,New York,New York,28.0,20.4,16.8,5.6,5.3,24.700000000000003,2.7,38.8,71.9,74.2,5.3,10.0,16.4,38.8,10.7,15.700000000000003,28.4,34.4,25.400000000000006,12.8,24.7,19.900000000000006,13.1,30.5,41.0,3.0,26.299999999999997,15.9,3651000,8175133,60,New York,New York,40.76149276,-73.98143112,36061,New York,19400.0,New York City,New York,NY,84.93,85.1,85.82,87.84,80.37,81.2,82.68,85.56,85.9,82.5,86.7,82.6,84.2,5.2,2.9,4.1,36061,NY,241
2,California,Los Angeles,36.3,17.5,17.3,4.9,5.1,27.900000000000006,2.7,44.1,76.0,75.5,4.8,8.5,14.8,42.2,10.4,19.099999999999994,26.7,32.6,23.099999999999994,13.2,25.0,21.200000000000003,12.9,22.5,37.7,2.8,32.5,11.3,0644000,3792621,62,Los Angeles,California,34.0522342,-118.24368490000002,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,222
3,Illinois,Chicago,32.3,20.2,21.8,5.5,5.0,27.299999999999997,2.8,44.6,70.6,75.1,5.6,9.4,18.5,43.8,11.3,17.799999999999997,31.5,34.0,25.200000000000003,12.2,33.5,21.700000000000003,12.2,27.8,37.5,3.3,26.799999999999997,18.5,1714000,2695598,50,Chicago,Illinois,41.850033,-87.6500523,17031,Cook,24300.0,Chicago,Illinois,IL,82.41,83.84,85.15,87.27,77.71,79.75,81.97,84.59,84.7,81.0,85.9,80.1,82.8,6.9,4.9,5.8,17031,IL,353
4,Texas,Houston,32.400000000000006,18.5,15.8,5.7,4.8,31.799999999999997,2.8,44.3,72.2,70.2,5.6,8.8,17.6,46.7,12.5,30.5,30.4,36.9,25.799999999999997,12.4,34.1,24.599999999999994,13.2,32.4,36.5,3.2,26.799999999999997,15.9,4835000,2099451,46,Houston,Texas,29.7632836,-95.3632715,48201,Harris,32000.0,Houston,Texas,TX,82.21,83.72,85.16,87.58,77.14,79.53,81.69,85.08,84.7,80.9,86.3,79.7,82.8,7.9,5.4,6.6,48201,TX,401
5,Pennsylvania,Philadelphia,25.099999999999994,26.0,17.9,7.2,5.6,28.799999999999997,3.0,38.6,71.0,71.3,6.3,10.9,22.2,44.6,12.2,17.599999999999994,32.9,34.6,20.799999999999997,14.6,30.6,22.5,13.7,30.6,43.9,4.0,23.599999999999994,19.0,4260000,1526006,46,Philadelphia,Pennsylvania,39.952335,-75.16378900000001,42101,Philadelphia,19700.0,Philadelphia,Pennsylvania,PA,80.95,83.52,85.15,87.35,75.55,79.01,81.75,85.07,84.2,80.3,86.2,78.2,82.2,9.5,6.4,8.0,42101,PA,402
6,Arizona,Phoenix,35.2,19.6,14.6,6.3,5.5,29.299999999999997,2.8,42.1,69.0,69.7,5.1,9.4,17.8,44.1,9.8,22.0,27.5,35.4,24.700000000000003,13.4,29.8,22.299999999999997,13.3,26.4,36.2,2.8,30.799999999999997,14.4,0455000,1445632,56,Phoenix,Arizona,33.4483771,-112.07403729999999,04013,Maricopa,35001.0,Phoenix,Arizona,AZ,82.6,84.37,85.99,87.42,77.36,80.31,82.7,85.1,85.1,81.4,86.3,80.0,83.2,7.7,4.8,6.3,04013,AZ,280
7,Texas,San Antonio,32.7,20.8,15.5,5.4,4.9,29.099999999999994,3.0,41.6,70.5,70.7,5.7,8.4,14.7,41.2,12.1,29.700000000000003,29.4,37.0,23.700000000000003,11.6,34.4,23.599999999999994,13.6,33.1,36.8,2.9,25.0,13.8,4865000,1327407,49,San Antonio,Texas,29.4241219,-98.4936282,48029,Bexar,31301.0,San Antonio,Texas,TX,83.17,84.78,85.74,87.52,77.52,80.84,82.89,85.07,85.3,81.6,86.3,80.3,83.4,7.5,4.3,6.0,48029,TX,359
8,California,San Diego,36.0,16.3,19.1,4.2,5.3,27.299999999999997,2.3,37.3,70.5,72.2,4.1,7.9,12.3,35.5,7.7,12.599999999999994,24.1,30.9,22.5,10.9,21.9,19.299999999999997,10.4,17.4,34.7,2.3,32.3,9.3,0666000,1307402,77,San Diego,California,32.7153292,-117.1572551,06073,San Diego,38000.0,San Diego,California,CA,84.62,85.45,86.76,87.85,79.64,81.2,83.31,85.93,86.2,82.5,86.9,82.1,84.4,6.3,3.2,4.8,06073,CA,81
9,Texas,Dallas,34.099999999999994,19.9,16.9,6.0,4.8,33.0,2.8,44.2,68.3,70.0,5.6,8.9,18.7,47.2,11.7,30.799999999999997,31.7,36.1,24.0,12.6,36.4,24.299999999999997,13.7,33.6,35.4,3.3,27.200000000000003,17.3,4819000,1197816,43,Dallas,Texas,32.783055600000004,-96.80666670000001,48113,Dallas,33100.0,Dallas,Texas,TX,82.06,83.97,85.71,87.64,77.48,79.62,81.98,85.18,84.8,81.1,86.4,79.8,82.9,7.7,5.6,6.6,48113,TX,419
10,Hawaii,Honolulu,31.099999999999994,17.8,18.3,4.2,5.6,28.599999999999994,2.6,37.6,69.8,67.9,4.3,8.8,14.0,30.0,9.3,10.299999999999997,31.5,36.0,22.299999999999997,9.0,21.7,25.0,9.6,23.2,47.4,2.6,24.599999999999994,7.1,15003,953207,69,Honolulu,Hawaii,21.3069444,-157.8583333,15003,Honolulu,34701.0,Honolulu,Hawaii,HI,84.44,86.09,86.79,88.74,78.41,81.19,83.32,85.86,86.5,82.2,87.3,81.4,84.4,7.5,4.3,5.9,15003,HI,152
11,California,San Jose,36.8,14.6,15.3,3.8,5.0,25.200000000000003,2.2,39.8,73.6,70.5,4.0,7.6,11.5,32.7,8.7,12.799999999999997,23.2,30.6,23.900000000000006,10.4,20.5,20.900000000000006,10.1,19.6,35.1,2.1,32.8,8.9,0668000,945942,80,San Jose,California,37.3393857,-121.8949555,06085,Santa Clara,37500.0,San Jose,California,CA,85.7,85.77,86.49,88.26,81.18,82.22,83.97,86.16,86.6,83.4,87.2,83.4,85.0,5.0,2.6,3.8,06085,CA,55
12,Florida,Jacksonville,27.599999999999994,25.1,15.0,7.2,5.9,24.200000000000003,2.7,36.2,69.0,71.4,6.0,9.2,20.5,42.3,10.6,18.700000000000003,33.3,35.5,23.0,14.4,31.2,22.299999999999997,13.7,27.1,37.9,3.3,23.900000000000006,15.9,1235000,821784,51,Jacksonville,Florida,30.3321838,-81.655651,12031,Duval,7600.0,Jacksonville,Florida,FL,81.23,83.8,85.42,87.9,74.78,79.25,81.95,84.98,84.6,80.2,86.4,78.0,82.4,10.2,6.7,8.4,12031,FL,341
13,Indiana,Indianapolis,34.7,22.3,16.4,7.2,5.7,29.200000000000003,2.7,39.9,64.2,69.2,6.0,10.3,23.1,40.1,10.8,17.099999999999994,29.9,37.2,27.299999999999997,14.2,33.5,23.5,13.2,30.4,39.4,3.4,24.299999999999997,19.0,1836003,820445,48,Indianapolis,Indiana,39.7683765,-86.15804229999999,18097,Marion,14200.0,Indianapolis,Indiana,IN,79.78,83.12,85.2,87.09,73.84,78.62,82.14,84.35,83.8,79.7,85.7,76.8,81.8,10.5,7.3,8.9,18097,IN,369
14,California,San Francisco,34.3,16.7,20.6,3.8,5.2,24.400000000000006,2.3,38.7,72.5,71.9,4.4,7.6,11.3,31.700000000000003,8.6,9.299999999999997,25.0,32.1,23.299999999999997,9.8,18.8,21.299999999999997,9.5,16.9,33.7,2.3,30.400000000000006,9.4,0667000,805235,79,San Francisco,California,37.7749295,-122.4194155,06075,San Francisco,37800.0,San Francisco,California,CA,84.56,85.18,86.35,88.11,79.71,81.49,83.31,85.79,86.1,82.6,87.0,82.1,84.4,6.1,3.5,4.9,06075,CA,61
15,Texas,Austin,36.4,13.7,22.0,4.2,4.4,30.5,2.1,41.4,66.6,68.7,3.7,7.8,14.7,37.6,7.5,21.5,22.5,30.3,25.799999999999997,10.5,26.5,18.200000000000003,9.5,23.3,29.6,2.0,30.299999999999997,10.4,4805000,790390,72,Austin,Texas,30.267153000000004,-97.7430608,48453,Travis,31201.0,Austin,Texas,TX,82.97,85.36,86.69,88.15,77.92,81.33,83.22,86.28,85.8,82.2,87.2,80.4,84.0,8.4,5.2,6.8,48453,TX,122
16,Ohio,Columbus,30.299999999999997,22.1,19.4,6.7,5.0,29.5,2.5,39.1,69.0,70.7,5.2,10.2,22.9,37.2,9.9,12.599999999999994,29.7,31.6,25.099999999999994,13.6,31.5,20.799999999999997,12.1,27.6,40.5,3.0,25.5,19.8,3918000,787033,55,Columbus,Ohio,39.9611755,-82.9987942,39049,Franklin,15900.0,Columbus,Ohio,OH,80.23,83.75,85.23,87.62,74.68,79.53,82.46,84.86,84.2,80.4,86.2,77.5,82.3,10.2,7.4,8.7,39049,OH,298
17,Texas,Fort Worth,35.0,18.7,17.9,6.0,4.8,30.900000000000006,2.6,42.5,68.0,69.1,5.3,8.9,18.4,45.0,10.7,26.200000000000003,29.5,34.7,27.700000000000003,12.4,32.5,21.799999999999997,12.8,30.8,36.6,3.0,26.900000000000006,17.0,4827000,741206,50,Fort Worth,Texas,32.725409,-97.32084959999999,48439,Tarrant,33000.0,Fort Worth,Texas,TX,81.28,83.01,85.02,87.27,75.88,78.76,81.76,84.76,84.1,80.3,86.0,78.6,82.2,8.9,6.0,7.4,48439,TX,350
18,North Carolina,Charlotte,28.200000000000003,21.0,16.9,5.3,5.0,23.5,2.4,34.0,62.6,62.1,4.7,8.7,17.2,38.4,9.1,19.299999999999997,30.5,32.2,22.200000000000003,11.9,28.9,15.799999999999997,11.3,23.7,34.7,2.8,27.200000000000003,15.7,3712000,731424,67,Charlotte,North Carolina,35.2270869,-80.8431268,37119,Mecklenburg,900.0,Charlotte,North Carolina,NC,81.44,84.2,85.73,87.55,75.27,79.33,82.33,84.96,84.7,80.5,86.3,78.4,82.6,9.7,6.1,7.9,37119,NC,178
19,Michigan,Detroit,22.700000000000003,31.8,15.0,10.3,5.6,28.299999999999997,4.2,43.0,76.0,79.3,8.7,12.9,31.2,52.4,17.4,23.0,46.6,39.9,21.799999999999997,17.2,44.7,23.799999999999997,18.9,36.0,50.5,6.2,21.299999999999997,25.7,2622000,713777,10,Detroit,Michigan,42.331427000000005,-83.0457538,26163,Wayne,11600.0,Detroit,Michigan,MI,79.52,83.21,85.26,86.98,73.8,78.92,81.68,84.25,83.7,79.7,85.6,76.7,81.7,10.5,7.5,8.9,26163,MI,500
20,Texas,El Paso,34.7,18.9,15.8,5.2,4.9,31.099999999999994,3.3,49.4,75.0,75.6,6.1,7.7,14.6,46.0,13.9,34.400000000000006,31.1,36.3,29.0,11.9,34.0,22.799999999999997,14.1,31.9,33.8,3.0,24.799999999999997,14.5,4824000,649121,42,El Paso,Texas,31.758719800000005,-106.4869314,48141,El Paso,30601.0,El Paso,Texas,TX,85.18,85.83,86.39,87.84,80.0,81.89,82.99,84.13,86.3,82.3,86.0,82.6,84.3,4.1,2.7,3.4,48141,TX,425
21,Tennessee,Memphis,24.400000000000006,26.1,11.8,8.6,5.4,26.099999999999994,3.3,40.5,71.0,67.7,7.0,10.8,24.7,50.6,14.9,21.099999999999994,41.8,36.7,22.400000000000006,16.7,37.7,17.400000000000006,17.1,32.3,39.9,4.6,20.599999999999994,26.8,4748000,646889,34,Memphis,Tennessee,35.1495343,-90.0489801,47157,Shelby,5202.0,Memphis,Tennessee,TN,80.17,82.54,84.73,86.69,73.73,78.08,80.7,84.17,83.5,79.2,85.4,77.0,81.4,10.4,6.5,8.4,47157,TN,474
22,Maryland,Baltimore,23.0,25.7,15.2,7.5,5.6,24.599999999999994,3.0,35.599999999999994,70.9,68.0,6.3,11.1,24.8,40.2,13.6,13.599999999999994,38.1,34.7,18.0,13.7,34.0,16.099999999999994,13.4,30.3,44.2,4.2,21.700000000000003,20.1,2404000,620961,46,Baltimore,Maryland,39.2903848,-76.6121893,24510,Baltimore (city),11302.0,Baltimore,Maryland,MD,80.39,83.12,85.14,87.64,74.3,78.85,81.72,84.96,84.1,80.0,86.3,77.3,82.0,10.7,7.2,9.0,24510,MD,399
23,Massachusetts,Boston,25.799999999999997,17.3,21.7,5.2,4.7,28.700000000000003,2.3,33.3,71.3,68.7,4.4,11.0,16.4,34.2,8.5,10.599999999999994,25.1,28.7,18.299999999999997,13.7,21.9,17.5,10.8,26.1,36.4,2.5,27.299999999999997,17.6,2507000,617594,73,Boston,Massachusetts,42.358430799999994,-71.05977320000001,25025,Suffolk,20500.0,Boston,Massachusetts,MA,83.18,84.25,86.02,87.92,78.15,80.49,82.94,85.63,85.3,81.8,86.8,80.7,83.6,7.5,4.7,6.1,25025,MA,114
24,Washington,Seattle,40.4,18.0,20.8,3.8,5.6,27.400000000000006,2.3,32.400000000000006,67.9,64.1,3.8,8.9,11.9,27.400000000000006,6.6,9.099999999999994,23.4,31.3,26.5,10.0,22.3,18.900000000000006,8.5,14.3,30.2,2.1,35.2,8.5,5363000,608660,83,Seattle,Washington,47.6062095,-122.33207079999998,53033,King,39400.0,Seattle,Washington,WA,82.57,84.67,85.99,87.92,77.46,80.71,83.24,85.73,85.3,81.8,86.8,80.0,83.6,8.3,5.4,6.8,53033,WA,37
25,District of Columbia,Washington,26.099999999999994,18.8,22.1,4.9,5.1,22.799999999999997,2.6,34.099999999999994,69.0,71.9,4.1,10.1,18.4,30.900000000000006,8.7,10.0,28.2,30.9,22.0,11.3,24.9,15.700000000000003,10.0,20.2,34.9,3.1,25.299999999999997,11.7,1150000,601723,71,Washington,District of Columbia,38.895111799999995,-77.0363658,11001,District of Columbia,11304.0,Washington DC,District of Columbia,DC,82.5,84.07,85.51,87.9,77.47,79.65,82.13,85.85,85.0,81.3,86.9,80.0,83.2,8.4,5.4,6.9,11001,DC,134
26,Tennessee,Nashville,28.799999999999997,24.2,12.6,6.9,5.5,25.400000000000006,2.6,38.7,64.7,64.6,5.6,10.0,21.5,43.5,10.4,16.400000000000006,32.9,35.6,21.0,14.3,32.5,16.700000000000003,13.5,28.8,36.6,3.0,24.0,19.7,4752006,601222,55,Nashville,Tennessee,36.165889899999996,-86.7844432,47037,Davidson,5600.0,Nashville,Tennessee,TN,80.6,83.39,85.4,87.39,74.58,78.93,82.24,84.92,84.2,80.2,86.2,77.6,82.2,10.3,6.8,8.6,47037,TN,301
27,Colorado,Denver,39.6,18.7,20.2,4.5,5.4,29.0,2.4,38.7,63.8,69.8,4.3,9.0,17.7,37.4,7.2,16.700000000000003,23.7,29.2,28.5,10.9,20.4,19.5,10.3,17.8,28.4,2.4,33.3,13.0,0820000,600158,74,Denver,Colorado,39.7391536,-104.9847034,08031,Denver,28900.0,Denver,Colorado,CO,82.53,84.81,86.4,88.43,77.78,81.14,83.83,86.51,85.5,82.3,87.5,80.2,83.9,8.7,5.9,7.3,08031,CO,106
28,Kentucky,Louisville,24.099999999999994,28.8,16.9,9.6,6.7,26.099999999999994,2.8,33.8,62.5,62.4,7.5,11.1,25.9,39.8,11.8,10.200000000000003,39.7,37.8,21.400000000000006,13.6,35.1,20.099999999999994,14.4,31.4,37.6,3.5,21.700000000000003,19.0,2148006,597337,44,Louisville,Kentucky,38.254237599999996,-85.759407,21111,Jefferson,13101.0,Louisville,Kentucky,KY,80.16,83.27,85.35,87.34,74.13,79.17,81.83,84.56,84.0,79.9,86.0,77.1,82.0,10.4,7.2,8.9,21111,KY,409
29,Wisconsin,Milwaukee,29.5,23.7,19.3,6.2,5.0,30.299999999999997,2.9,39.2,70.2,75.5,5.6,12.4,24.8,42.8,11.1,16.799999999999997,34.0,34.4,23.299999999999997,14.2,37.1,19.299999999999997,14.4,27.5,40.8,3.7,27.700000000000003,19.8,5553000,594833,44,Milwaukee,Wisconsin,43.0389025,-87.9064736,55079,Milwaukee,24100.0,Milwaukee,Wisconsin,WI,80.77,83.97,85.34,87.53,75.05,79.77,82.63,85.04,84.4,80.6,86.3,77.9,82.5,10.0,6.8,8.4,55079,WI,414
30,Oregon,Portland,40.5,21.5,20.3,4.8,5.8,28.599999999999994,2.4,36.6,66.5,70.5,4.5,9.5,17.3,33.5,8.1,10.700000000000003,24.4,33.1,25.299999999999997,12.6,25.4,19.599999999999994,11.4,15.8,29.6,2.5,30.099999999999994,13.4,4159000,583776,69,Portland,Oregon,45.5234515,-122.6762071,41051,Multnomah,38801.0,Portland,Oregon,OR,82.62,84.47,86.22,87.82,77.51,81.19,83.57,85.59,85.3,82.0,86.7,80.1,83.6,8.1,5.2,6.6,41051,OR,158
31,Nevada,Las Vegas,34.599999999999994,20.9,15.0,7.2,5.8,28.599999999999994,2.8,43.4,68.4,72.5,6.0,9.3,20.0,43.9,10.2,19.5,27.4,35.1,30.700000000000003,13.3,27.8,22.700000000000003,13.9,27.6,39.0,3.1,28.099999999999994,18.1,3240000,583756,53,Las Vegas,Nevada,36.1749705,-115.13722299999999,32003,Clark,37901.0,Las Vegas,Nevada,NV,80.48,82.38,83.77,85.69,75.31,78.63,80.79,82.79,83.1,79.4,84.2,77.9,81.2,7.5,5.2,6.3,32003,NV,321
32,Oklahoma,Oklahoma City,34.8,23.1,13.7,7.1,5.8,29.400000000000006,2.6,43.7,62.7,63.3,6.4,9.6,21.4,43.8,10.8,18.5,32.6,36.2,29.400000000000006,13.5,31.3,23.599999999999994,13.5,32.3,36.0,3.3,25.200000000000003,19.3,4055000,579999,50,Oklahoma City,Oklahoma,35.4715076,-97.54021069,40109,Oklahoma,33803.0,Oklahoma City,Oklahoma,OK,79.72,82.79,85.02,86.75,74.53,79.01,81.63,84.42,83.6,79.9,85.6,77.1,81.8,9.9,7.0,8.5,40109,OK,347
33,New Mexico,Albuquerque,38.7,22.3,13.6,5.6,5.7,28.799999999999997,2.8,37.3,67.7,68.0,5.3,9.7,18.0,35.8,9.6,14.0,26.5,34.7,28.299999999999997,12.0,25.7,20.5,12.5,21.3,32.7,2.7,29.0,14.1,3502000,545852,65,Albuquerque,New Mexico,35.0844909,-106.65113670000001,35001,Bernalillo,34901.0,Albuquerque,New Mexico,NM,82.93,85.09,86.42,87.81,77.39,81.05,83.88,85.88,85.6,82.0,86.8,80.2,83.8,8.5,4.9,6.6,35001,NM,203
34,Arizona,Tucson,35.099999999999994,20.9,15.1,6.6,5.5,31.599999999999994,3.1,43.2,71.1,70.5,5.8,10.5,17.8,43.0,10.3,20.599999999999994,26.8,36.6,28.0,13.5,28.9,25.5,13.4,25.0,34.4,3.1,28.599999999999994,13.7,0477000,520116,54,Tucson,Arizona,32.2217429,-110.926479,04019,Pima,35100.0,Tucson,Arizona,AZ,83.09,84.71,86.05,87.88,77.9,81.34,82.89,85.66,85.4,81.9,86.8,80.5,83.6,7.8,4.8,6.3,04019,AZ,306
35,California,Fresno,36.5,19.5,16.5,6.2,5.0,33.099999999999994,2.9,43.6,73.0,75.5,5.7,9.6,16.9,44.0,11.3,20.400000000000006,28.9,34.1,25.799999999999997,14.8,30.0,24.5,15.3,24.7,32.9,3.2,31.5,15.3,0627000,494665,52,Fresno,California,36.74772720000001,-119.77236609999999,06019,Fresno,37200.0,Fresno,California,CA,83.67,84.52,86.18,87.65,79.79,81.21,83.15,84.99,85.5,82.3,86.3,81.7,83.9,5.2,4.0,4.6,06019,CA,333
36,California,Sacramento,37.8,21.3,17.4,5.6,5.2,29.900000000000006,2.6,40.9,73.4,74.3,5.3,10.2,15.9,42.0,10.1,14.099999999999994,30.3,32.1,22.0,13.1,26.3,21.400000000000006,13.0,21.4,34.6,3.0,32.3,14.1,0664000,466488,61,Sacramento,California,38.5815719,-121.49439960000001,06067,Sacramento,37400.0,Sacramento,California,CA,82.63,84.24,85.7,87.86,78.31,80.66,83.03,85.34,85.1,81.8,86.6,80.5,83.4,7.0,5.2,6.1,06067,CA,234
37,California,Long Beach,35.7,17.3,17.5,4.8,5.1,27.200000000000003,2.5,42.5,75.3,74.1,4.5,8.6,15.1,40.5,9.8,16.900000000000006,26.5,31.9,22.200000000000003,13.1,24.6,20.900000000000006,12.3,21.6,38.2,2.7,32.8,10.2,0643000,462257,65,Long Beach,California,33.766962299999996,-118.1892348,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,197
38,Missouri,Kansas City,31.099999999999994,25.5,17.2,6.9,5.9,27.599999999999994,2.8,40.5,64.6,64.9,6.1,10.0,22.6,44.3,11.8,16.900000000000006,33.4,37.6,26.799999999999997,13.6,37.1,21.599999999999994,13.8,27.5,35.7,3.5,23.099999999999994,19.6,2938000,459787,46,Kansas City,Missouri,39.0997266,-94.5785667,29095,Jackson,29502.0,Kansas City,Missouri,MO,80.33,83.83,85.75,87.55,75.08,79.4,82.09,85.15,84.4,80.4,86.4,77.7,82.4,10.1,7.2,8.7,29095,MO,393
39,Arizona,Mesa,33.099999999999994,22.4,14.6,6.8,7.1,25.299999999999997,2.9,37.5,67.2,68.3,5.9,9.2,16.4,39.2,9.5,16.700000000000003,29.4,37.1,24.400000000000006,12.1,27.5,20.700000000000003,12.4,24.4,34.2,3.0,26.599999999999994,13.4,0446000,439041,60,Mesa,Arizona,33.4222685,-111.8226402,04013,Maricopa,35001.0,Phoenix,Arizona,AZ,82.6,84.37,85.99,87.42,77.36,80.31,82.7,85.1,85.1,81.4,86.3,80.0,83.2,7.7,4.8,6.3,04013,AZ,235
40,Virginia,Virginia Beach,25.5,19.8,18.9,5.0,5.8,21.200000000000003,2.1,29.200000000000003,64.4,63.1,4.5,8.5,17.5,28.599999999999994,8.4,11.599999999999994,29.5,33.8,20.799999999999997,10.6,28.5,14.700000000000003,9.3,24.1,36.3,2.3,25.599999999999994,11.1,5182000,437994,73,Virginia Beach,Virginia,36.8529263,-75.977985,51810,Virginia Beach (city),2000.0,Virginia Beach,Virginia,VA,80.74,83.12,85.14,86.94,74.35,78.5,81.87,85.03,84.0,79.9,86.0,77.5,82.0,10.7,6.2,8.5,51810,VA,115
41,Georgia,Atlanta,26.799999999999997,20.4,16.9,5.7,4.9,25.200000000000003,2.8,38.0,70.9,72.3,5.1,10.0,17.9,37.6,11.0,17.599999999999994,33.4,31.3,21.099999999999994,12.0,30.7,16.900000000000006,11.4,25.1,40.5,3.4,25.799999999999997,19.1,1304000,420003,58,Atlanta,Georgia,33.7489954,-84.3879824,13121,Fulton,9100.0,Atlanta,Georgia,GA,81.75,84.28,85.68,87.71,76.39,79.57,82.31,85.16,84.9,80.9,86.4,79.1,82.9,8.8,6.0,7.3,13121,GA,261
42,Colorado,Colorado Springs,35.8,23.4,16.4,5.3,6.0,26.299999999999997,2.4,35.3,62.3,66.6,4.8,9.3,18.0,34.7,7.2,12.5,24.6,33.4,30.700000000000003,11.0,22.2,19.700000000000003,10.9,18.9,30.1,2.5,30.5,12.4,0816000,416427,73,Colorado Springs,Colorado,38.8338816,-104.82136340000001,08041,El Paso,28401.0,Colorado Springs,Colorado,CO,82.68,84.96,86.9,88.22,77.83,81.29,84.14,86.0,85.7,82.3,87.1,80.3,84.0,8.2,5.5,6.8,08041,CO,116
