id,StateDesc,CityName,1P:No Annual Checkup:Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,3O:Arthritis:Arthritis among adults aged >=18 Years,2B:Binge Drinking:Binge drinking among adults aged >=18 Years,3O:Chronic Pulmonary Disease:Chronic obstructive pulmonary disease among adults aged >=18 Years,3O:Cancer:Cancer (excluding skin cancer) among adults aged >=18 Years,1P:No Cholesterol Screening:Cholesterol screening among adults aged >=18 Years,3O:Chronic Kidney Disease:Chronic kidney disease among adults aged >=18 Years,"1P:No Colorectal Cancer Screening:Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50–75 Years","1P:No Preventive services-older men:Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening","1P:No Preventive services-older women:Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years",3O:Coronary Heart Disease:Coronary heart disease among adults aged >=18 Years,3O:Asthma:Current asthma among adults aged >=18 Years,2B:Current Smoking:Current smoking among adults aged >=18 Years,1P:No Dental Visit:Visits to dentist or dental clinic among adults aged >=18 Years,3O:Diabetes:Diagnosed diabetes among adults aged >=18 Years,1P:No Health Insurance:Current lack of health insurance among adults aged 18–64 Years,3O:High Blood Pressure:High blood pressure among adults aged >=18 Years,3O:High Cholesterol:High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1P:No Mammography:Mammography use among women aged 50–74 Years,3O:Mental Health:Mental health not good for >=14 days among adults aged >=18 Years,2B:Obesity:Obesity among adults aged >=18 Years,1P:No Pap Smear Test:Papanicolaou smear use among adult women aged 21–65 Years,3O:Physical Health:Physical health not good for >=14 days among adults aged >=18 Years,2B:Physical Inactivity:No leisure-time physical activity among adults aged >=18 Years,2B:Sleep < 7 hours:Sleeping less than 7 hours among adults aged >=18 Years,3O:Stroke:Stroke among adults aged >=18 Years,1P:Not Taking BP Medication:Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,3O:All Teeth Lost:All teeth lost among adults aged >=65 Years,CityFIPS,PopulationCount,health_score,city_ascii,state_name,lat,lng,county_fips,county_name,cz,czname,statename,stateabbrv_x,life_q1_f,life_q2_f,life_q3_f,life_q4_f,life_q1_m,life_q2_m,life_q3_m,life_q4_m,expectancy_f,expectancy_m,"4L:Life Expectancy Top 25%:Life expectancy in years, Top Quartile Income","4L:Life Expectancy Bottom 25%:Life expectancy in years, Bottom Quartile Income",4L:Life Expectancy Average: Average Life Expectancy in Years,disparity_m,disparity_f,disparity_avg,FIPS,stateabbrv_y,health_rank
117,Arkansas,Little Rock,26.5,25.2,14.4,6.2,6.1,24.900000000000006,2.8,37.1,65.0,67.7,6.0,9.4,19.0,38.9,11.2,13.5,37.2,37.0,25.0,12.9,33.9,18.0,12.9,32.0,36.6,3.3,22.099999999999994,15.9,0541000,193524,52,Little Rock,Arkansas,34.7464809,-92.2895948,05119,Pulaski,4200.0,Little Rock,Arkansas,AR,79.85,83.51,85.07,87.62,74.43,78.77,81.86,84.42,84.0,79.9,86.0,77.1,82.0,10.0,7.8,8.9,05119,AR,329
118,California,Moreno Valley,37.5,17.9,17.7,5.2,4.3,32.400000000000006,2.6,45.4,77.7,76.1,4.7,9.2,17.4,44.9,10.4,19.599999999999994,28.1,31.9,23.200000000000003,14.6,30.4,21.0,13.9,25.9,40.7,2.7,34.5,15.4,0649270,193365,55,Moreno Valley,California,33.937517,-117.23059440000002,06065,Riverside,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06065,CA,299
119,California,Glendale,34.0,20.8,16.9,5.8,6.9,21.400000000000006,2.6,39.5,73.6,73.1,5.6,8.3,14.0,34.5,9.5,10.700000000000003,28.3,34.8,23.0,11.9,21.4,20.5,11.9,19.5,35.0,2.9,28.299999999999997,9.7,0630000,191719,68,Glendale,California,34.1425078,-118.255075,06037,Los Angeles,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06037,CA,162
120,Texas,Amarillo,33.0,22.8,16.6,6.8,6.2,28.400000000000006,2.7,41.7,67.7,67.5,6.2,8.7,18.9,42.9,10.7,24.0,31.6,37.4,28.200000000000003,12.2,33.1,24.900000000000006,13.1,31.4,32.8,3.1,23.599999999999994,14.8,4803000,190695,47,Amarillo,Texas,35.2219971,-101.8312969,48375,Potter,30903.0,Amarillo,Texas,TX,80.71,82.66,84.81,87.93,75.55,79.07,82.66,84.05,84.0,80.3,86.0,78.1,82.2,8.5,7.2,7.9,48375,TX,384
121,California,Huntington Beach,33.900000000000006,18.0,18.0,4.5,6.6,20.799999999999997,2.3,33.099999999999994,71.3,67.3,4.9,7.8,12.0,27.799999999999997,7.9,8.900000000000006,25.8,33.8,18.799999999999997,10.5,19.5,17.400000000000006,10.3,16.6,30.3,2.3,29.0,7.0,0636000,189992,81,Huntington Beach,California,33.660297,-117.99922649999999,06059,Orange,38300.0,Los Angeles,California,CA,84.94,84.93,85.97,87.61,80.51,81.42,82.8,85.53,85.9,82.6,86.6,82.7,84.2,5.0,2.7,3.9,06059,CA,48
122,Georgia,Columbus,25.799999999999997,26.7,14.8,7.3,5.8,24.400000000000006,3.0,39.2,71.8,69.3,6.3,10.6,20.2,41.4,12.7,19.5,37.7,36.5,19.900000000000006,13.5,36.8,19.099999999999994,13.8,30.7,42.7,3.9,22.799999999999997,19.5,1319000,189885,43,Columbus,Georgia,32.4609764,-84.9877094,13215,Muscogee,9701.0,Columbus,Georgia,GA,80.32,82.84,83.34,85.97,73.71,78.04,80.62,83.75,83.1,79.0,84.9,77.0,81.0,10.0,5.7,7.9,13215,GA,416
123,Michigan,Grand Rapids,31.299999999999997,25.5,19.5,7.0,5.8,30.200000000000003,2.8,35.3,64.7,62.7,6.0,10.7,21.5,35.5,9.9,17.200000000000003,30.1,34.3,20.400000000000006,13.5,31.9,20.099999999999994,13.1,24.7,35.4,3.2,26.799999999999997,14.0,2634000,188040,55,Grand Rapids,Michigan,42.9633599,-85.6680863,26081,Kent,12200.0,Grand Rapids,Michigan,MI,81.32,85.0,86.48,88.15,76.13,81.06,83.54,85.95,85.2,81.7,87.1,78.7,83.4,9.8,6.8,8.4,26081,MI,293
124,Utah,Salt Lake City,42.1,17.8,14.5,4.1,5.1,35.900000000000006,2.4,34.599999999999994,65.2,69.2,4.1,9.6,10.9,36.5,7.5,16.400000000000006,22.4,31.8,29.799999999999997,11.6,24.9,23.299999999999997,10.5,21.8,32.1,2.3,33.7,13.5,4967000,186440,74,Salt Lake City,Utah,40.7607794,-111.89104740000002,49035,Salt Lake,36100.0,Salt Lake City,Utah,UT,82.44,84.88,86.4,88.93,76.98,81.11,84.03,86.42,85.7,82.1,87.7,79.7,83.9,9.4,6.5,8.0,49035,UT,107
125,Florida,Tallahassee,28.200000000000003,16.7,17.9,5.6,4.4,34.2,2.2,32.7,64.5,67.7,4.0,9.8,18.9,39.3,7.3,19.900000000000006,23.3,27.5,22.599999999999994,15.0,27.4,23.099999999999994,10.8,22.1,36.5,2.3,31.900000000000006,12.1,1270600,181376,70,Tallahassee,Florida,30.4382559,-84.2807329,12073,Leon,9900.0,Tallahassee,Florida,FL,81.46,84.35,86.66,87.48,75.09,79.89,82.4,85.12,85.0,80.6,86.3,78.3,82.8,10.0,6.0,8.0,12073,FL,139
126,Massachusetts,Worcester,24.0,23.8,18.1,7.0,5.8,26.400000000000006,2.6,34.900000000000006,70.5,72.2,5.8,10.7,21.9,37.2,9.4,11.799999999999997,30.1,34.9,20.299999999999997,14.8,29.6,17.5,13.3,31.6,40.0,2.9,25.400000000000006,20.1,2582000,181045,55,Worcester,Massachusetts,42.262593200000005,-71.8022934,25027,Worcester,20500.0,Boston,Massachusetts,MA,83.18,84.25,86.02,87.92,78.15,80.49,82.94,85.63,85.3,81.8,86.8,80.7,83.6,7.5,4.7,6.1,25027,MA,302
